ClaimIdentifier,Claim Type,Insured ID  Number,Patient_LastName,Patient_FirstName,Patient_MI,Patient_DOB,Patient_Sex,Insureds_LastName,Insureds_FirstName,Insureds_MI,Patient_Address1,Patient_Address2,Patient_City,Patient_State,Patient_Zip,Patient_Phone,Patient_RelationshipToInsured,Insureds_Address1,Insureds_Address2,Insureds_City,Insureds_State,Insureds_Zip,Insureds_Phone,Patient_Status_Marriage,Patient_Status_Employment,Patient_ConditionRelatedTo_Employment,Patient_ConditionRelatedTo_AutoAccident,Patient_ConditionRelatedTo_OtherAccident,Date_Of_Current,First_Date_Of_Illness,Provider_Referring_Name,Provider_Referring_NPI,DiagnosisCode1,DiagnosisCode2,DiagnosisCode3,DiagnosisCode4,CLM_1_From_Date,CLM_1_To_Date,CLM_1_PlaceOfService,CLM_1_CPT,CLM_1_CPT_Mod1,CLM_1_CPT_Mod2,CLM_1_CPT_Mod3,CLM_1_CPT_Mod4,CLM_1_CPT_DiagnosisPointer,CLM_1_CPT_Charges,CLM_1_CPT_DaysOrUnits,CLM_1_NPI,CLM_2_From_Date,CLM_2_To_Date,CLM_2_PlaceOfService,CLM_2_CPT,CLM_2_CPT_Mod1,CLM_2_CPT_Mod2,CLM_2_CPT_Mod3,CLM_2_CPT_Mod4,CLM_2_CPT_DiagnosisPointer,CLM_2_CPT_Charges,CLM_2_CPT_DaysOrUnits,CLM_2_NPI,CLM_3_From_Date,CLM_3_To_Date,CLM_3_PlaceOfService,CLM_3_CPT,CLM_3_CPT_Mod1,CLM_3_CPT_Mod2,CLM_3_CPT_Mod3,CLM_3_CPT_Mod4,CLM_3_CPT_DiagnosisPointer,CLM_3_CPT_Charges,CLM_3_CPT_DaysOrUnits,CLM_3_NPI,CLM_4_From_Date,CLM_4_To_Date,CLM_4_PlaceOfService,CLM_4_CPT,CLM_4_CPT_Mod1,CLM_4_CPT_Mod2,CLM_4_CPT_Mod3,CLM_4_CPT_Mod4,CLM_4_CPT_DiagnosisPointer,CLM_4_CPT_Charges,CLM_4_CPT_DaysOrUnits,CLM_4_NPI,CLM_5_From_Date,CLM_5_To_Date,CLM_5_PlaceOfService,CLM_5_CPT,CLM_5_CPT_Mod1,CLM_5_CPT_Mod2,CLM_5_CPT_Mod3,CLM_5_CPT_Mod4,CLM_5_CPT_DiagnosisPointer,CLM_5_CPT_Charges,CLM_5_CPT_DaysOrUnits,CLM_5_NPI,CLM_6_From_Date,CLM_6_To_Date,CLM_6_PlaceOfService,CLM_6_CPT,CLM_6_CPT_Mod1,CLM_6_CPT_Mod2,CLM_6_CPT_Mod3,CLM_6_CPT_Mod4,CLM_6_CPT_DiagnosisPointer,CLM_6_CPT_Charges,CLM_6_CPT_DaysOrUnits,CLM_6_NPI,FedTaxID,PatientAccountNumber,TotalCharge,AmountPaid,BalanceDue,ServiceFacility,BillingProviderInfo,DataGenesis,DataType
267,MEDICAID,6b992SuqYm85,Gisbourn,Fabian, ,11/2/1934,M,Gisbourn,Fabian, ,31407 Kings Street,,Washington,D.C.,20368,202-720-2735,SELF,31407 Kings Street,,Washington,D.C.,20368,202-720-2735,SINGLE,PART-TIME STUDENT,NO,NO,NO,6/14/2020,,,,J43.1,,,,6/14/2020,6/14/2020,31,99306,,,,,1,1972.61,1,1456122224,6/14/2020,6/14/2020,21,99233,,,,,1,1327.74,1,2402879641,6/14/2020,6/14/2020,2,99232,,,,,1,1290.57,1,1513476213,6/14/2020,6/14/2020,11,99231,,,,,1,885.99,1,2402879641,6/14/2020,6/14/2020,2,99395,,,,,1,397.95,1,1513476213,6/14/2020,6/14/2020,11,99212,,,,,1,1397.36,1,2867882669,10-0183583,332-10-1506,7272.22,0,7272.22,"40486 Sauthoff Parkway, Washington D.C., 20051","40486 Sauthoff Parkway, Washington D.C., 20051",Noisy,Claim
268,MEDICAID,lbl2vw1QcRi5,Schiesterl,Charmian, ,2/1/2014,F,Schiesterl,Charmian, ,4008 Corscot Drive,,Washington,D.C.,20498,202-090-2290,SELF,4008 Corscot Drive,,Washington,D.C.,20498,202-090-2290,MARRIED,FULL-TIME STUDENT,NO,NO,NO,6/1/2020,10/1/2017,Ophtalmology Health Center,1817398960,E78.00,J00,,,6/1/2020,6/1/2020,21,90471,,,,,1,1676.51,1,1018493702,6/1/2020,6/1/2020,12,99233,,,,,1,1134.57,1,1513476213,6/1/2020,6/1/2020,12,99349,,,,,1,1196.42,1,2525942599,6/1/2020,6/1/2020,2,99211,,,,,1,1627.06,1,2141027533,6/1/2020,6/1/2020,12,99215,,,,,1,1893.54,1,1214955140,6/1/2020,6/1/2020,11,99306,,,,,1,1964.35,1,1794634850,13-9645325,739-50-3573,9492.45,0,9492.45,"510 Ilene Park, Washington D.C., 20059","510 Ilene Park, Washington D.C., 20059",Noisy,Claim
269,MEDICAID,9zP5hy182200,Carrick,Rogerio, ,7/9/1972,M,Carrick,Rogerio, ,76071 Badeau Court,SUITE 943,Washington,D.C.,20479,202-239-5200,SELF,76071 Badeau Court,SUITE 943,Washington,D.C.,20479,202-239-5200,MARRIED,EMPLOYED,NO,NO,NO,9/2/2019,,,,R55,,,,9/2/2019,9/2/2019,12,69210,,,,,1,1149.97,1,2867882669,9/2/2019,9/2/2019,2,99214,,,,,1,1289.43,1,1817398960,9/2/2019,9/2/2019,12,99222,,,,,1,1274.76,1,2525942599,9/2/2019,9/2/2019,11,99222,,,,,1,316.89,1,2402879641,9/2/2019,9/2/2019,31,99214,,,,,1,1335.28,1,1173434577,9/2/2019,9/2/2019,21,99213,,,,,1,474.48,1,2292387037,71-2111733,669-55-4446,5840.81,0,5840.81,"67428 Derek Drive, Washington D.C., 20052","67428 Derek Drive, Washington D.C., 20052",Noisy,Claim
270,MEDICAID,6w26K77w2GF0,Brandenberg,Shell, ,10/21/1948,F,Brandenberg,Shell, ,405 Onsgard Trail,UNIT 476,Washington,D.C.,20009,202-802-3390,SELF,405 Onsgard Trail,UNIT 476,Washington,D.C.,20009,202-802-3390,OTHER,PART-TIME STUDENT,NO,NO,NO,4/23/2018,,,,J11.1,,,,4/23/2018,4/23/2018,21,99223,3L,KH,7V,,1,630.82,1,1327732647,4/23/2018,4/23/2018,11,99232,IX,N1,6Q,,1,1918.24,1,1900020073,4/23/2018,4/23/2018,21,99214,FC,92,5,,1,855.14,1,1581560652,4/23/2018,4/23/2018,12,99212,TH,E1,5,,1,987.51,1,2525942599,4/23/2018,4/23/2018,2,99309,4I,99,PR,,1,314.99,1,1173953828,4/23/2018,4/23/2018,2,99350,77,49,VK,,1,1653.43,1,2536050724,11-9145818,145-77-6533,6360.13,0,6360.13,"536 Armistice Junction, Washington D.C., 20053","536 Armistice Junction, Washington D.C., 20053",Noisy,Claim
271,MEDICAID,MA97PiKx372C,Shoard,Dorris, ,11/19/1952,F,Shoard,Dorris, ,53 Washington Center,,Washington,D.C.,20120,202-826-3465,SELF,53 Washington Center,,Washington,D.C.,20120,202-826-3465,SINGLE,FULL-TIME STUDENT,NO,NO,NO,1/9/2019,9/24/2017,Dr. Garrik Works,2374300175,R55,R05,,,1/9/2019,1/9/2019,31,99223,H2,,,,1,1644.6,1,2536050724,1/9/2019,1/9/2019,11,96127,SQ,,,,1,777.97,1,2637980735,1/9/2019,1/9/2019,12,99211,DR,,,,1,326.37,1,2867882669,1/9/2019,1/9/2019,2,99204,LK,,,,1,1205.82,1,1153393968,1/9/2019,1/9/2019,11,90471,22,,,,1,1147.45,1,1173434577,1/9/2019,1/9/2019,11,99233,KO,,,,1,1813.13,1,2402879641,84-9506440,170-40-8499,6915.34,0,6915.34,"2 Fairfield Crossing, Washington D.C., 20058","2 Fairfield Crossing, Washington D.C., 20058",Noisy,Claim
272,MEDICAID,27TkM18v2lGr,Skedgell,Daren, ,6/4/2006,M,Skedgell,Daren, ,1 Briar Crest Road,APT 218,Washington,D.C.,20428,202-357-2101,SELF,1 Briar Crest Road,APT 218,Washington,D.C.,20428,202-357-2101,SINGLE,PART-TIME STUDENT,NO,YES,NO,1/3/2019,,,,I10,,,,1/3/2019,1/3/2019,21,99231,23,0Q,TF,,1,1950.14,1,2107071811,1/3/2019,1/3/2019,12,99214,40,65,6P,,1,1428.24,1,2265005859,1/3/2019,1/3/2019,21,90688,V8,28,6D,,1,725.29,1,1327732647,1/3/2019,1/3/2019,12,99232,JT,KR,6D,,1,1886.29,1,2637980735,1/3/2019,1/3/2019,2,99232,96,VZ,VG,,1,1364.53,1,1173434577,1/3/2019,1/3/2019,31,99350,RU,86,28,,1,1706.37,1,2536050724,76-0974637,618-54-0974,9060.86,0,9060.86,"1715 American Plaza, Washington D.C., 20057","1715 American Plaza, Washington D.C., 20057",Noisy,Claim
273,MEDICAID,tI27B1n9brFz,Morot,Fionnula, ,3/26/1950,F,Morot,Fionnula, ,83783 Sutherland Alley,SUITE 586,Washington,D.C.,20041,202-773-2410,SELF,83783 Sutherland Alley,SUITE 586,Washington,D.C.,20041,202-773-2410,SINGLE,PART-TIME STUDENT,NO,NO,YES,3/3/2019,,,,F17.210,,,,3/3/2019,3/3/2019,31,99348,Z0,4Z,GD,,1,1395.08,1,1817398960,3/3/2019,3/3/2019,21,99349,X2,E1,81,,1,1188.72,1,1173434577,3/3/2019,3/3/2019,12,90688,Q8,T3,QR,,1,586.18,1,1528997797,3/3/2019,3/3/2019,12,99222,18,3,QR,,1,1070.07,1,2141027533,3/3/2019,3/3/2019,21,99212,SV,2R,47,,1,1627.63,1,2867882669,3/3/2019,3/3/2019,31,99222,50,3E,ZD,,1,851.53,1,2747742614,95-8557413,258-60-3116,6719.21,0,6719.21,"52522 Lerdahl Court, Washington D.C., 20059","52522 Lerdahl Court, Washington D.C., 20059",Noisy,Claim
274,MEDICAID,Je32fG82pPfQ,Schiesterl,Charmian, ,2/1/2014,F,Schiesterl,Charmian, ,4008 Corscot Drive,,Washington,D.C.,20498,202-057-9196,SELF,4008 Corscot Drive,,Washington,D.C.,20498,202-057-9196,MARRIED,EMPLOYED,NO,NO,NO,1/20/2020,5/10/2015,Physical Medicine and Rehabilitation Wellness Clinic,2777193110,N31.9,J11.1,,,1/20/2020,1/20/2020,11,90471,,,,,1,1814.98,1,2374300175,1/20/2020,1/20/2020,21,99221,,,,,1,1184.58,1,1456122224,1/20/2020,1/20/2020,2,99203,,,,,1,1981.46,1,1153393968,1/20/2020,1/20/2020,21,99223,,,,,1,1544.41,1,2525942599,1/20/2020,1/20/2020,31,99211,,,,,1,1264.37,1,2867882669,1/20/2020,1/20/2020,21,99221,,,,,1,1337.62,1,1153393968,09-4654225,739-50-3573,9127.42,0,9127.42,"47582 Hauk Way, Washington D.C., 20056","47582 Hauk Way, Washington D.C., 20056",Noisy,Claim
275,MEDICAID,M22MySjz36K9,Cawte,Fayina, ,11/6/1989,F,Cawte,Fayina, ,32 Rutledge Point,,Washington,D.C.,20307,202-399-0800,SELF,32 Rutledge Point,,Washington,D.C.,20307,202-399-0800,SINGLE,PART-TIME STUDENT,NO,NO,NO,10/31/2019,,,,R11.2,,,,10/31/2019,10/31/2019,11,99222,,,,,1,339.41,1,1251486319,10/31/2019,10/31/2019,2,99211,,,,,1,1322.98,1,1581560652,10/31/2019,10/31/2019,21,99213,,,,,1,1646.56,1,2951611356,10/31/2019,10/31/2019,12,99211,,,,,1,1912.12,1,2747742614,10/31/2019,10/31/2019,11,99309,,,,,1,1901.76,1,2525942599,10/31/2019,10/31/2019,12,99350,,,,,1,1786.37,1,1327732647,93-8328873,219-56-6256,8909.2,0,8909.2,"68 Sugar Way, Washington D.C., 20050","68 Sugar Way, Washington D.C., 20050",Noisy,Claim
276,MEDICAID,XenJ85A655Ml,Fockes,Avery, ,5/26/1983,M,Fockes,Avery, ,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-495-3957,SELF,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-495-3957,MARRIED,FULL-TIME STUDENT,NO,NO,NO,4/20/2020,3/14/2017,Dr. Shea Simonyi,1879008081,G47.00,J30.2,,,4/20/2020,4/20/2020,12,81002,,,,,1,1731.77,1,2303217404,4/20/2020,4/20/2020,31,96127,,,,,1,995.91,1,1456122224,4/20/2020,4/20/2020,11,90471,,,,,1,1701.79,1,1173434577,4/20/2020,4/20/2020,31,99214,,,,,1,1670.32,1,2107071811,4/20/2020,4/20/2020,21,90688,,,,,1,1964.84,1,2303217404,4/20/2020,4/20/2020,11,99215,,,,,1,789.65,1,1018493702,48-7136407,306-62-0543,8854.28,0,8854.28,"3183 Esker Park, Washington D.C., 20057","3183 Esker Park, Washington D.C., 20057",Noisy,Claim
277,MEDICAID,65cv44rVq71J,Riccardini,Michel, ,7/13/1945,F,Riccardini,Michel, ,23 Commercial Street,APT 738,Washington,D.C.,20518,202-592-2435,SELF,23 Commercial Street,APT 738,Washington,D.C.,20518,202-592-2435,SINGLE,FULL-TIME STUDENT,NO,NO,NO,5/13/2019,9/2/2016,Dr. Brittne Colley,2047646400,B97.89,C73,,,5/13/2019,5/13/2019,12,99223,,,,,1,584.79,1,1327732647,5/13/2019,5/13/2019,21,99395,,,,,1,913.8,1,1528997797,5/13/2019,5/13/2019,11,99233,,,,,1,1185.51,1,2810623947,5/13/2019,5/13/2019,21,99213,,,,,1,1147.67,1,2265005859,5/13/2019,5/13/2019,2,99222,,,,,1,1929.78,1,2265005859,5/13/2019,5/13/2019,21,99215,,,,,1,1612.7,1,1456122224,07-0279191,420-80-0280,7374.25,0,7374.25,"9 Daystar Junction, Washington D.C., 20054","9 Daystar Junction, Washington D.C., 20054",Noisy,Claim
278,MEDICAID,103V8w2j6qi4,Jodlowski,Gilberto, ,1/23/1964,M,Jodlowski,Gilberto, ,34 Linden Street,,Washington,D.C.,20304,202-172-0151,SELF,34 Linden Street,,Washington,D.C.,20304,202-172-0151,OTHER,PART-TIME STUDENT,NO,YES,NO,10/7/2018,,,,R06.02,,,,10/7/2018,10/7/2018,12,81002,,,,,1,399.07,1,2374300175,10/7/2018,10/7/2018,12,99232,,,,,1,1282.15,1,2283062518,10/7/2018,10/7/2018,11,99350,,,,,1,1837.73,1,1581560652,10/7/2018,10/7/2018,21,99232,,,,,1,1855.24,1,1456122224,10/7/2018,10/7/2018,11,99348,,,,,1,951.71,1,1581560652,10/7/2018,10/7/2018,12,99214,,,,,1,1532.3,1,1327732647,00-5997179,813-53-4540,7858.2,0,7858.2,"717 Melby Trail, Washington D.C., 20052","717 Melby Trail, Washington D.C., 20052",Noisy,Claim
279,MEDICAID,qQ8x07XMV263,Child,Pearce, ,11/25/1964,M,Child,Pearce, ,369 Trailsway Parkway,UNIT 121,Washington,D.C.,20215,202-371-4671,SELF,369 Trailsway Parkway,UNIT 121,Washington,D.C.,20215,202-371-4671,OTHER,EMPLOYED,NO,YES,NO,12/5/2018,,,,E11.9,,,,12/5/2018,12/5/2018,11,99211,,,,,1,1403.74,1,2402879641,12/5/2018,12/5/2018,31,99222,,,,,1,1232.48,1,1173434577,12/5/2018,12/5/2018,2,99349,,,,,1,1355.92,1,2747742614,12/5/2018,12/5/2018,21,99348,,,,,1,360.05,1,2292387037,12/5/2018,12/5/2018,12,99204,,,,,1,509.02,1,1513476213,12/5/2018,12/5/2018,31,99204,,,,,1,685.77,1,2777193110,71-6618301,765-33-1851,5546.98,0,5546.98,"78 Butterfield Alley, Washington D.C., 20051","78 Butterfield Alley, Washington D.C., 20051",Noisy,Claim
280,MEDICAID,Dnmj22FFPA0N,Alejo,Goddard, ,12/20/1995,M,Alejo,Goddard, ,63611 Nelson Circle,,Washington,D.C.,20126,202-184-3330,SELF,63611 Nelson Circle,,Washington,D.C.,20126,202-184-3330,OTHER,EMPLOYED,NO,YES,YES,7/5/2018,,,,J00,,,,7/5/2018,7/5/2018,2,99348,,,,,1,1696.33,1,2292387037,7/5/2018,7/5/2018,31,90688,,,,,1,1508.25,1,2536050724,7/5/2018,7/5/2018,11,81002,,,,,1,361.08,1,2951611356,7/5/2018,7/5/2018,31,99348,,,,,1,1184.85,1,1085601728,7/5/2018,7/5/2018,11,99350,,,,,1,722.54,1,1581560652,7/5/2018,7/5/2018,2,99211,,,,,1,1516.05,1,2637980735,67-4618000,405-90-3549,6989.1,0,6989.1,"50 1st Trail, Washington D.C., 20050","50 1st Trail, Washington D.C., 20050",Noisy,Claim
281,MEDICAID,uMzA2wggX58M,Yate,Harper, ,3/30/1994,M,Yate,Harper, ,97 Larry Place,APT 186,Washington,D.C.,20559,202-649-0107,SELF,97 Larry Place,APT 186,Washington,D.C.,20559,202-649-0107,SINGLE,EMPLOYED,NO,NO,NO,4/26/2020,,,,R05,,,,4/26/2020,4/26/2020,2,90688,,,,,1,557.75,1,1528997797,4/26/2020,4/26/2020,11,99348,,,,,1,421.72,1,1879008081,4/26/2020,4/26/2020,21,99203,,,,,1,1761.06,1,2047646400,4/26/2020,4/26/2020,2,93000,,,,,1,1589.39,1,1879008081,4/26/2020,4/26/2020,21,99205,,,,,1,803.99,1,1581560652,4/26/2020,4/26/2020,21,99211,,,,,1,1344.27,1,1173953828,16-9070281,506-45-7968,6478.18,0,6478.18,"43956 Meadow Valley Pass, Washington D.C., 20053","43956 Meadow Valley Pass, Washington D.C., 20053",Noisy,Claim
282,MEDICAID,zSE5xWw0YeR4,Ratcliff,Ody, ,12/23/2001,M,Ratcliff,Ody, ,29925 Gateway Hill,SUITE 637,Washington,D.C.,20171,202-457-6414,SELF,29925 Gateway Hill,SUITE 637,Washington,D.C.,20171,202-457-6414,MARRIED,PART-TIME STUDENT,NO,NO,NO,6/13/2018,7/30/2015,DC Physician Practice,2292387037,N39.0,R29.6,,,6/13/2018,6/13/2018,21,99310,,,,,1,1371.81,1,2283062518,6/13/2018,6/13/2018,21,99231,,,,,1,931.18,1,1173434577,6/13/2018,6/13/2018,21,96127,,,,,1,649.42,1,1173434577,6/13/2018,6/13/2018,31,99309,,,,,1,1629.96,1,1879008081,6/13/2018,6/13/2018,21,96127,,,,,1,1609.11,1,1581560652,6/13/2018,6/13/2018,2,99223,,,,,1,1241.58,1,1173434577,45-4319918,277-73-6627,7433.06,0,7433.06,"7 Delladonna Drive, Washington D.C., 20054","7 Delladonna Drive, Washington D.C., 20054",Noisy,Claim
283,MEDICAID,4V825IX1p1gW,Lethem,Rosetta, ,7/7/2009,F,Lethem,Rosetta, ,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-614-9176,SELF,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-614-9176,OTHER,PART-TIME STUDENT,NO,NO,NO,9/19/2019,10/28/2016,Dr. Gerome Seivwright,1173953828,J30.2,E11.9,,,9/19/2019,9/19/2019,2,99232,4I,,,,1,751.64,1,2536050724,9/19/2019,9/19/2019,2,99349,1D,,,,1,1091.98,1,2141027533,9/19/2019,9/19/2019,11,99233,6U,,,,1,496.68,1,1879008081,9/19/2019,9/19/2019,12,96127,T0,,,,1,1352.76,1,1085601728,9/19/2019,9/19/2019,21,99395,H6,,,,1,768.54,1,2141027533,9/19/2019,9/19/2019,11,99348,H4,,,,1,1714.25,1,1900020073,18-1189943,864-57-6202,6175.85,0,6175.85,"436 Autumn Leaf Crossing, Washington D.C., 20054","436 Autumn Leaf Crossing, Washington D.C., 20054",Noisy,Claim
284,MEDICAID,1l142V7220U6,Gibbons,Tabitha, ,12/19/2007,F,Gibbons,Tabitha, ,79 Warrior Lane,APT 22,Washington,D.C.,20454,202-858-8961,SELF,79 Warrior Lane,APT 22,Washington,D.C.,20454,202-858-8961,SINGLE,PART-TIME STUDENT,NO,NO,NO,8/21/2019,5/7/2017,Allergy and Immunology Healthcare Group,2265005859,C34.90,J30.2,,,8/21/2019,8/21/2019,12,99204,,,,,1,344.22,1,2810623947,8/21/2019,8/21/2019,2,99204,,,,,1,1599.63,1,2402879641,8/21/2019,8/21/2019,31,99215,,,,,1,503.91,1,2747742614,8/21/2019,8/21/2019,2,69210,,,,,1,717.35,1,1327732647,8/21/2019,8/21/2019,11,99205,,,,,1,1473.57,1,2107071811,8/21/2019,8/21/2019,21,99232,,,,,1,1960.28,1,1018493702,58-3672214,433-42-1115,6598.96,0,6598.96,"91955 Mifflin Court, Washington D.C., 20050","91955 Mifflin Court, Washington D.C., 20050",Noisy,Claim
285,MEDICAID,01z2l4cV6x36,Matijasevic,Mable, ,1/21/1983,F,Matijasevic,Mable, ,84040 Forster Avenue,,Washington,D.C.,20225,202-121-3975,SELF,84040 Forster Avenue,,Washington,D.C.,20225,202-121-3975,OTHER,FULL-TIME STUDENT,NO,NO,NO,2/5/2020,,,,F10.1,,,,2/5/2020,2/5/2020,21,96127,,,,,1,1400.36,1,1879008081,2/5/2020,2/5/2020,21,99214,,,,,1,456.12,1,2867882669,2/5/2020,2/5/2020,2,99222,,,,,1,1525.28,1,2637980735,2/5/2020,2/5/2020,2,99215,,,,,1,1635.34,1,2951611356,2/5/2020,2/5/2020,2,99214,,,,,1,1095.3,1,1900020073,2/5/2020,2/5/2020,21,99213,,,,,1,1486.3,1,1173434577,05-8377596,129-66-9280,7598.7,0,7598.7,"6 Lien Road, Washington D.C., 20057","6 Lien Road, Washington D.C., 20057",Noisy,Claim
286,MEDICAID,339pU36X821O,Logsdale,Evelin, ,5/31/2014,M,Logsdale,Evelin, ,04265 Summer Ridge Avenue,SUITE 483,Washington,D.C.,20298,202-904-8301,SELF,04265 Summer Ridge Avenue,SUITE 483,Washington,D.C.,20298,202-904-8301,MARRIED,EMPLOYED,NO,NO,NO,10/22/2018,,,,J30.2,,,,10/22/2018,10/22/2018,11,99231,,,,,1,716.24,1,2107071811,10/22/2018,10/22/2018,21,96127,,,,,1,1851.09,1,2536050724,10/22/2018,10/22/2018,21,99205,,,,,1,737.3,1,2747742614,10/22/2018,10/22/2018,31,96127,,,,,1,1876.92,1,2141027533,10/22/2018,10/22/2018,2,99310,,,,,1,335.65,1,2141027533,10/22/2018,10/22/2018,11,99231,,,,,1,1850.87,1,2747742614,80-5834473,328-89-9754,7368.07,0,7368.07,"98431 Toban Terrace, Washington D.C., 20057","98431 Toban Terrace, Washington D.C., 20057",Noisy,Claim
287,MEDICAID,nB9291v2M9m7,Nuzzetti,Hetti, ,8/20/1956,F,Nuzzetti,Hetti, ,5 Pond Parkway,,Washington,D.C.,20147,202-887-1999,SELF,5 Pond Parkway,,Washington,D.C.,20147,202-887-1999,SINGLE,EMPLOYED,NO,YES,NO,12/21/2019,,,,B97.89,,R07.9 ,,12/21/2019,12/21/2019,21,81002,0U,7X,34,Z9,1,410.01,1,2525942599,12/21/2019,12/21/2019,12,99306,7M,86,J0,J8,1,730.15,1,1173953828,12/21/2019,12/21/2019,12,99232,JD,ZN,TP,NB,1,1572.56,1,1214955140,12/21/2019,12/21/2019,11,99205,XP,43,TP,NB,1,1888.59,1,1794634850,12/21/2019,12/21/2019,12,90688,5O,87,56,E5,1,448.15,1,2867882669,12/21/2019,12/21/2019,12,99222,J1,48,1B,XL,1,649.6,1,2292387037,58-8121715,652-46-5193,5699.06,0,5699.06,"2 Beilfuss Parkway, Washington D.C., 20058","2 Beilfuss Parkway, Washington D.C., 20058",Noisy,Claim
288,MEDICAID,XfzS62B88uoU,Stopforth,Fred, ,2/1/2002,M,Stopforth,Fred, ,6 Amoth Point,,Washington,D.C.,20118,202-118-5754,SELF,6 Amoth Point,,Washington,D.C.,20118,202-118-5754,MARRIED,FULL-TIME STUDENT,YES,NO,NO,1/4/2020,,,,C34.90,,,M54.5,1/4/2020,1/4/2020,21,99211,S1,5U,R5,,1,327.81,1,2637980735,1/4/2020,1/4/2020,11,90471,2,32,91,,1,546.04,1,1513476213,1/4/2020,1/4/2020,21,99222,96,23,2C,,1,1302,1,1794634850,1/4/2020,1/4/2020,31,99222,OC,F6,2C,,1,1700.15,1,2265005859,1/4/2020,1/4/2020,11,90688,6L,C0,N5,,1,833.61,1,2292387037,1/4/2020,1/4/2020,21,96127,U9,93,N3,,1,1047.54,1,1513476213,35-9294299,702-15-4092,5757.15,0,5757.15,"951 Roth Crossing, Washington D.C., 20054","951 Roth Crossing, Washington D.C., 20054",Noisy,Claim
289,MEDICAID,Z7Hd4Obva7e3,Darco,Abagael, ,7/2/1957,F,Darco,Abagael, ,4 Mccormick Place,,Washington,D.C.,20377,202-304-2641,SELF,4 Mccormick Place,,Washington,D.C.,20377,202-304-2641,SINGLE,PART-TIME STUDENT,NO,NO,NO,10/12/2018,,,,F10.1,,,,10/12/2018,10/12/2018,11,99205,,,,,1,1260.51,1,2292387037,10/12/2018,10/12/2018,12,99232,,,,,1,929.16,1,2047646400,10/12/2018,10/12/2018,12,96127,,,,,1,1942.22,1,1173434577,10/12/2018,10/12/2018,12,99348,,,,,1,895.82,1,2283062518,10/12/2018,10/12/2018,2,99213,,,,,1,493.01,1,2747742614,10/12/2018,10/12/2018,11,99204,,,,,1,1239.61,1,1327732647,63-6453333,638-62-4100,6760.33,0,6760.33,"0 Magdeline Court, Washington D.C., 20052","0 Magdeline Court, Washington D.C., 20052",Noisy,Claim
290,MEDICAID,VRkSD5tgq04f,Foot,Ambur, ,5/24/1952,F,Foot,Ambur, ,28262 Scott Circle,UNIT 444,Washington,D.C.,20222,202-050-4117,SELF,28262 Scott Circle,UNIT 444,Washington,D.C.,20222,202-050-4117,SINGLE,EMPLOYED,NO,NO,NO,11/17/2019,,,,F33.1,,R53.83,,11/17/2019,11/17/2019,12,99211,,,,,1,331.59,1,1794634850,11/17/2019,11/17/2019,21,99221,,,,,1,1942.56,1,1817398960,11/17/2019,11/17/2019,21,81002,,,,,1,1315.65,1,2374300175,11/17/2019,11/17/2019,2,69210,,,,,1,749.22,1,1817398960,11/17/2019,11/17/2019,12,99350,,,,,1,1857.34,1,1513476213,11/17/2019,11/17/2019,12,99205,,,,,1,1915.32,1,1879008081,38-3059346,513-76-8225,8111.68,0,8111.68,"30 Bunting Circle, Washington D.C., 20050","30 Bunting Circle, Washington D.C., 20050",Noisy,Claim
291,MEDICAID,0j98J1O50iU8,Welbelove,Katusha, ,9/19/2003,F,Welbelove,Katusha, ,5 Hudson Avenue,,Washington,D.C.,20590,202-015-8568,SELF,5 Hudson Avenue,,Washington,D.C.,20590,202-015-8568,SINGLE,PART-TIME STUDENT,NO,NO,NO,7/31/2018,,,,J30.2,,E11.9,,7/31/2018,7/31/2018,11,99395,15,XN,AE,7I,1,630.22,1,1327732647,7/31/2018,7/31/2018,12,90471,MD,V9,LS,4R,1,1173.39,1,1018493702,7/31/2018,7/31/2018,21,99215,8T,2B,P0,J8,1,583.7,1,1173953828,7/31/2018,7/31/2018,12,99205,86,Q0,P0,J8,1,1524.01,1,2637980735,7/31/2018,7/31/2018,21,99306,Z7,70,GJ,K8,1,637.81,1,2867882669,7/31/2018,7/31/2018,21,99310,R7,IQ,51,9H,1,1417.54,1,1513476213,34-8759368,867-78-6986,5966.67,0,5966.67,"5049 Nancy Pass, Washington D.C., 20055","5049 Nancy Pass, Washington D.C., 20055",Noisy,Claim
